id,status,created_time,response_time,hops,responses
7839,200,78.129000,0.014596,[i63-f15],[0.014596]
7840,200,78.137000,0.018763,[i61-f13],[0.018763]
7841,200,78.146000,0.010946,[i63-f15],[0.010946]
7842,200,78.155000,0.018749,[i58-f10],[0.018749]
7843,200,78.165000,0.014655,[i63-f15],[0.014655]
7844,200,78.173000,0.018833,[i61-f13],[0.018833]
7845,200,78.182000,0.014799,[i63-f15],[0.014799]
7847,200,78.207000,0.010649,[i63-f15],[0.010649]
7846,200,78.196000,0.027227,[i61-f13],[0.027227]
7848,200,78.214000,0.018722,[i58-f10],[0.018722]
7849,200,78.221000,0.014694,[i63-f15],[0.014694]
7851,200,78.250000,0.015110,[i58-f10],[0.01511]
7850,200,78.239000,0.026854,[i63-f15],[0.026854]
7852,200,78.260000,0.027240,[i61-f13],[0.02724]
7853,200,78.270000,0.023064,[i63-f15],[0.023064]
7854,200,78.279000,0.026582,[i58-f10],[0.026582]
7855,200,78.288000,0.022802,[i61-f13],[0.022802]
7856,200,78.303000,0.018678,[i63-f15],[0.018678]
7857,200,78.313000,0.023092,[i61-f13],[0.023092]
7858,200,78.322000,0.014644,[i63-f15],[0.014644]
7859,200,78.333000,0.022852,[i58-f10],[0.022852]
7860,200,78.343000,0.014685,[i63-f15],[0.014685]
7862,200,78.360000,0.018781,[i63-f15],[0.018781]
7861,200,78.353000,0.026760,[i61-f13],[0.02676]
7863,200,78.368000,0.014508,[i58-f10],[0.014508]
7864,200,78.379000,0.022689,[i63-f15],[0.022689]
7865,200,78.389000,0.014339,[i58-f10],[0.014339]
7866,200,78.396000,0.014827,[i61-f13],[0.014827]
7867,200,78.398000,0.021009,[i45-f13],[0.021009]
7868,200,78.409000,0.010436,[i58-f10],[0.010436]
7869,200,78.421000,0.023144,[i58-f10],[0.023144]
7870,200,78.432000,0.014113,[i45-f13],[0.014113]
7871,200,78.442000,0.022946,[i61-f13],[0.022946]
7872,200,78.448000,0.026881,[i45-f13],[0.026881]
7873,200,78.462000,0.018742,[i58-f10],[0.018742]
7874,200,78.469000,0.019435,[i61-f13],[0.019435]
7875,200,78.477000,0.019042,[i45-f13],[0.019042]
7876,200,78.483000,0.022675,[i58-f10],[0.022675]
7877,200,78.491000,0.014868,[i61-f13],[0.014868]
7878,200,78.503000,0.018820,[i45-f13],[0.01882]
7879,200,78.511000,0.023506,[i61-f13],[0.023506]
7881,200,78.530000,0.010234,[i58-f10],[0.010234]
7880,200,78.522000,0.027885,[i45-f13],[0.027885]
7882,200,78.535000,0.026774,[i61-f13],[0.026774]
7883,200,78.545000,0.026478,[i58-f10],[0.026478]
7884,200,78.554000,0.018804,[i45-f13],[0.018804]
7885,200,78.564000,0.018832,[i61-f13],[0.018832]
7886,200,78.580000,0.019115,[i45-f13],[0.019115]
7887,200,78.590000,0.010659,[i61-f13],[0.010659]
7888,200,78.598000,0.022814,[i58-f10],[0.022814]
7890,200,78.619000,0.014869,[i45-f13],[0.014869]
7889,200,78.612000,0.022994,[i61-f13],[0.022994]
7891,200,78.634000,0.014963,[i45-f13],[0.014963]
